time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,dist_in_main,milepost
0.0,0,1800.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,145.83136316750966
1.0,1,1818.32864,0.0,18.32864,1,1,1800.0,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815983.7484369855,0.0,815983.7484369855,815983.7484369855,815983.7484369855,0.0,-49981.67136,145.84275208470552
2.0,2,1836.65728,18.32863999999995,36.65728,1,1,1818.32864,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,9252040.892088814,9252040.892088814,0.0,-49963.34272,145.8541410019014
3.0,3,1854.9859199999999,36.6572799999999,54.98592,1,1,1836.65728,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,17688098.035740644,17688098.035740644,0.0,-49945.01408,145.86552991909727
4.0,4,1873.3145599999998,54.98591999999985,73.31456,1,1,1854.9859199999999,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,26124155.179392472,26124155.179392472,0.0,-49926.68544,145.87691883629316
5.0,5,1891.6431999999998,73.3145599999998,91.64320000000001,1,1,1873.3145599999998,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,34560212.3230443,34560212.3230443,0.0,-49908.3568,145.88830775348902
6.0,6,1909.9718399999997,91.64319999999975,109.97184000000001,1,1,1891.6431999999998,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,42996269.46669613,42996269.46669613,0.0,-49890.02816,145.89969667068488
7.0,7,1928.3004799999997,109.9718399999997,128.30048000000002,1,1,1909.9718399999997,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,51432326.61034796,51432326.61034796,0.0,-49871.69952,145.91108558788073
8.0,8,1946.6291199999996,128.30047999999965,146.62912000000003,1,1,1928.3004799999997,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,59868383.753999785,59868383.753999785,0.0,-49853.37088,145.92247450507662
9.0,9,1964.9577599999996,146.6291199999996,164.95776000000004,1,1,1946.6291199999996,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,68304440.89765161,68304440.89765161,0.0,-49835.04224,145.93386342227248
10.0,10,1983.2863999999995,164.95775999999955,183.28640000000004,1,1,1964.9577599999996,18.32864,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,247556.3961456618,168190.4020463941,0.0,0.0,0.0,0.0,0.0,0.0,8436057.143651828,0.0,8436057.143651828,76740498.04130344,76740498.04130344,0.0,-49816.7136,145.94525233946837
